DEPT,AT90,GR,HCAL,NPHI,RHOZ,DTCO,DTSM
7320.5,36.355,77.79,8.874,0.04,2.542,59.663,105.544
7321,27.557,81.714,8.885,0.046,2.56,60.13,105.961
7321.5,21.946,91.059,8.874,0.063,2.574,60.408,106.525
7322,19.005,98.843,8.874,0.085,2.582,60.718,107.382
7322.5,15.894,102.421,8.885,0.111,2.577,61.008,107.745
7323,11.978,106.239,8.862,0.115,2.584,61.451,107.949
7323.5,9.837,106.353,8.87,0.091,2.603,61.679,108.468
7324,13.291,95.046,8.87,0.058,2.62,61.796,108.709
7324.5,21.894,85.306,8.877,0.046,2.625,61.973,108.79
7325,28.098,78.329,8.874,0.053,2.625,61.819,109.164
7325.5,20.849,84.635,8.896,0.068,2.626,62.358,108.771
7326,20.637,85.308,8.885,0.074,2.623,62.249,108.855
7326.5,25.838,89.52,8.885,0.073,2.628,61.711,108.583
7327,34.115,81.886,8.885,0.058,2.64,61.648,108.284
7327.5,33.309,79.896,8.892,0.036,2.649,61.683,108.455
7328,33.904,77.141,8.907,0.025,2.634,62.003,108.827
7328.5,36.085,87.539,8.896,0.049,2.608,62.144,109.697
7329,23.04,97.937,8.9,0.085,2.598,62.307,110.397
7329.5,13.359,110.454,8.885,0.119,2.599,62.555,110.81
7330,7.59,109.533,8.874,0.131,2.611,63.18,110.995
7330.5,6.049,110.849,8.862,0.133,2.607,63.256,111.707
7331,7.399,108.327,8.851,0.126,2.608,63.461,112.056
7331.5,12.46,109.398,8.847,0.122,2.605,63.953,112.538
7332,13.662,101.764,8.851,0.111,2.606,63.916,112.245
7332.5,13.068,95.972,8.862,0.108,2.596,63.674,111.492
7333,12.592,95.428,8.885,0.105,2.594,63.135,110.745
7333.5,19.675,97.946,8.885,0.11,2.598,62.25,110.04
7334,23.741,100.362,9.028,0.081,2.607,62,107.985
7334.5,19.903,94.667,8.847,0.049,2.593,61.508,107.562
7335,14.941,83.96,8.862,0.019,2.567,61.354,107.42
7335.5,14.582,75.226,8.885,0.015,2.54,61.352,106.689
7336,17.038,74.998,9.088,0.02,2.533,61.346,107.088
7336.5,21.62,78.594,8.885,0.034,2.516,61.468,106.583
7337,29.909,78.462,8.919,0.033,2.482,61.745,107.031
7337.5,39.603,73.87,8.93,0.018,2.38,61.737,107.991
7338,37.064,63.999,8.941,0.01,2.281,62.386,108.068
7338.5,36.901,60.72,8.907,0.016,2.277,63.4,109.093
7339,39.682,59.126,8.907,0.03,2.375,63.854,110.456
7339.5,50.253,68.851,8.851,0.04,2.496,64.166,112.113
7340,43.564,71.735,8.851,0.04,2.543,64.519,112.364
7340.5,29.521,80.57,8.919,0.049,2.562,65.275,112.873
7341,44.052,88.204,8.96,0.074,2.576,65.325,116.901
7341.5,53.504,92.284,8.907,0.087,2.585,65.358,116.649
7342,45.961,91.874,9.065,0.074,2.564,65.585,116.952
7342.5,38.515,87.414,8.896,0.058,2.553,65.373,116.771
7343,28.988,85.835,8.896,0.073,2.565,65.448,116.89
7343.5,27.331,87.283,8.896,0.1,2.584,65.457,116.453
7344,38.085,94.375,8.885,0.13,2.6,65.328,116.808
7344.5,47.408,98.604,8.862,0.135,2.594,65.292,116.241
7345,56.752,107.423,8.885,0.14,2.601,65.314,116.254
7345.5,46.804,106.469,8.896,0.13,2.6,65.441,116.305
7346,52.3,112.526,8.907,0.132,2.607,65.578,116.615
7346.5,80.827,110.6,8.896,0.131,2.611,65.844,116.826
7347,79.282,112.688,8.896,0.142,2.62,66.115,117.073
7347.5,68.38,112.273,8.9,0.139,2.621,66.055,116.787
7348,47.165,115.537,8.9,0.142,2.615,66.092,116.644
7348.5,29.469,117.168,8.896,0.137,2.603,66.072,116.839
7349,9.973,121.248,8.919,0.124,2.592,66.109,117.07
7349.5,6.844,115.171,8.919,0.111,2.578,66.254,117.499
7350,9.786,111.768,8.907,0.114,2.585,66.441,118.108
7350.5,10.008,108.478,8.907,0.145,2.603,66.85,118.65
7351,7.758,111.373,8.896,0.165,2.625,66.932,119.236
7351.5,7.578,110.828,8.896,0.161,2.617,67.391,120.094
7352,7.417,109.795,8.907,0.148,2.612,67.384,120.093
7352.5,5.665,111.111,8.896,0.148,2.609,67.458,120.111
7353,5.364,112.822,8.907,0.153,2.624,66.754,119.226
7353.5,5.982,108.064,8.9,0.143,2.626,66.424,118.526
7354,8.318,97.681,8.896,0.108,2.619,65.446,117.336
7354.5,12.049,88.73,8.885,0.071,2.594,65.238,116.653
7355,12.179,80.701,8.896,0.047,2.566,65.087,115.247
7355.5,13.953,80.554,8.896,0.058,2.546,64.677,114.271
7356,17.975,79.516,8.885,0.079,2.557,63.771,113.438
7356.5,28.145,87.413,8.892,0.092,2.583,63.438,112.023
7357,26.548,89.256,8.9,0.078,2.607,63.287,111.892
7357.5,24,88.846,8.885,0.062,2.609,63.306,112.096
7358,20.301,85.703,8.896,0.048,2.599,63.321,112.387
7358.5,17.991,83.334,8.9,0.061,2.581,63.49,113.113
7359,17.806,88.994,8.885,0.075,2.571,63.797,113.952
7359.5,15.678,89.899,8.87,0.084,2.578,64.148,114.55
7360,14.2,93.997,8.892,0.086,2.597,64.324,114.782
7360.5,15.028,97.814,8.896,0.11,2.611,64.482,114.648
7361,12.172,106.896,8.896,0.142,2.618,64.386,114.555
7361.5,9.027,112.407,8.885,0.161,2.627,64.39,114.721
7362,6.702,114.139,8.885,0.147,2.632,64.308,113.289
7362.5,6.137,112.296,8.896,0.12,2.618,64.051,112.584
7363,7.741,106.636,8.896,0.099,2.608,62.784,111.307
7363.5,12.951,100.693,8.862,0.092,2.601,62.499,109.746
7364,20.46,94.26,8.896,0.083,2.601,62.18,108.627
7364.5,22.464,90.574,8.885,0.064,2.591,60.896,107.517
7365,26.817,86.494,8.907,0.044,2.584,60.424,106.841
7365.5,25.625,82.792,8.885,0.035,2.584,60.076,105.829
7366,24.874,80.963,8.9,0.032,2.583,59.98,106.361
7366.5,27.486,79.484,8.896,0.03,2.581,60.42,106.895
7367,37.933,80.158,8.896,0.03,2.59,60.746,107.487
7367.5,32.906,81.592,8.877,0.053,2.606,61.142,109.592
7368,14.21,90.197,8.877,0.087,2.62,61.87,111.25
7368.5,7.893,97.947,8.885,0.131,2.626,64.223,112.667
7369,5.708,106.804,8.9,0.149,2.622,64.85,115.113
7369.5,4.996,110.72,8.896,0.158,2.625,65.38,116.152
7370,4.304,114.426,8.9,0.15,2.627,65.807,116.429
7370.5,4.603,118.205,8.896,0.147,2.622,65.947,116.959
7371,5.359,114.139,8.896,0.145,2.611,65.94,117.828
7371.5,6.678,110.409,8.907,0.152,2.606,65.989,117.537
7372,8.983,102.117,8.9,0.157,2.622,65.481,117.021
7372.5,7.501,102.248,8.896,0.148,2.637,65.2,115.831
