DEPT,AT10,AT90,GR,HCAL,NPHI,NPOR,RHOZ,DTCO,DTSM,DTST,PR
7147,1.826,1.562,105.846,8.877,0.156,0.149,2.547,72.492,129.285,266.142,0.271
7147.5,1.791,1.495,107.493,8.907,0.149,0.139,2.553,72.527,129.155,266.173,0.27
7148,1.722,1.369,112.739,8.937,0.152,0.131,2.55,72.659,128.605,266.193,0.266
7148.5,1.668,1.306,110.238,8.96,0.15,0.134,2.539,71.968,128.95,266.196,0.274
7149,1.642,1.238,108.722,8.975,0.146,0.141,2.525,71.735,126.703,266.268,0.264
7149.5,1.653,1.165,98.34,8.952,0.141,0.138,2.527,71.776,126.862,266.193,0.265
7150,1.749,1.143,93.338,8.997,0.149,0.127,2.516,71.338,126.637,266.237,0.268
7150.5,1.946,1.139,89.467,8.997,0.151,0.143,2.492,70.489,125.048,266.349,0.267
7151,2.114,1.138,85.238,8.941,0.149,0.157,2.473,70.409,124.662,266.416,0.266
7151.5,2.38,1.115,82.079,8.915,0.133,0.142,2.475,70.664,125.063,266.691,0.266
7152,2.735,1.141,76.619,8.907,0.134,0.136,2.486,70.931,124.568,266.818,0.26
7152.5,3.054,1.143,76.71,8.795,0.143,0.151,2.479,71.196,125.532,266.977,0.263
7153,2.804,1.079,79.094,8.716,0.162,0.147,2.468,71.481,125.383,267.254,0.259
7153.5,2.403,0.999,81.976,8.705,0.173,0.164,2.461,72.367,126.915,267.657,0.259
7154,2.091,0.93,82.806,8.783,0.174,0.163,2.46,72.687,127.246,267.821,0.258
7154.5,1.912,0.883,82.737,8.817,0.173,0.151,2.454,72.853,128.125,267.955,0.261
7155,1.832,0.866,84.711,8.828,0.174,0.17,2.444,72.826,128.644,268.156,0.264
7155.5,1.754,0.847,85.779,8.817,0.183,0.158,2.436,73.542,128.898,268.305,0.259
7156,1.677,0.826,86.23,8.851,0.177,0.164,2.435,73.805,129.461,268.318,0.259
7156.5,1.668,0.821,85.045,8.847,0.175,0.16,2.438,73.787,129.992,268.323,0.262
7157,1.721,0.832,83.976,8.851,0.161,0.142,2.457,74.022,130.149,268.317,0.261
7157.5,1.782,0.848,82.806,8.84,0.161,0.152,2.473,73.997,130.489,267.803,0.263
7158,1.834,0.879,85.71,8.885,0.147,0.159,2.479,74.019,131.322,268.242,0.267
7158.5,1.783,0.879,87.964,8.93,0.158,0.146,2.469,74.32,131.721,268.15,0.266
7159,1.582,0.862,90.714,8.892,0.163,0.157,2.467,74.154,132.481,268.189,0.272
7159.5,1.368,0.832,95.694,8.885,0.167,0.172,2.487,74.121,131.814,268.184,0.269
7160,1.221,0.801,99.232,8.862,0.156,0.153,2.509,73.976,131.711,268.113,0.27
7160.5,1.191,0.821,107.13,8.896,0.162,0.154,2.516,74.037,132.008,267.893,0.271
7161,1.25,0.882,101.104,8.851,0.171,0.158,2.506,74.124,132.157,267.858,0.271
7161.5,1.309,0.934,96.629,8.87,0.174,0.151,2.493,74.035,131.738,267.779,0.269
7162,1.363,0.995,89.653,8.877,0.163,0.165,2.5,73.876,131.569,267.488,0.27
7162.5,1.437,1.065,92.005,8.877,0.157,0.151,2.508,73.471,131.543,267.331,0.273
7163,1.513,1.159,96.367,8.907,0.149,0.146,2.524,73.634,130.804,267.23,0.268
7163.5,1.523,1.185,101.477,8.896,0.156,0.144,2.529,73.622,130.731,267.085,0.268
7164,1.47,1.214,103.47,8.862,0.159,0.156,2.536,73.539,130.802,267.005,0.269
7164.5,1.451,1.234,106.611,8.93,0.167,0.159,2.529,73.557,130.825,267.002,0.269
7165,1.446,1.246,105.713,8.907,0.159,0.145,2.527,73.362,130.977,266.998,0.271
7165.5,1.42,1.265,103.565,8.922,0.148,0.141,2.527,73.172,130.907,266.878,0.273
7166,1.41,1.286,97.905,8.997,0.139,0.138,2.532,72.902,131.123,266.889,0.276
7166.5,1.436,1.309,96.211,8.997,0.13,0.13,2.525,72.694,130.835,266.799,0.277
7167,1.486,1.333,99.394,8.975,0.132,0.136,2.518,72.52,129.253,266.818,0.27
7167.5,1.54,1.342,102.421,8.907,0.142,0.135,2.514,72.337,128.52,266.41,0.268
7168,1.585,1.39,102.535,8.855,0.157,0.138,2.523,71.45,127.112,266.193,0.269
7168.5,1.59,1.321,97.651,8.9,0.16,0.155,2.537,71.163,124.223,265.979,0.256
7169,1.6,1.35,90.939,8.874,0.147,0.137,2.534,70.643,122.624,265.813,0.252
7169.5,1.909,1.683,81.211,8.874,0.128,0.124,2.518,68.267,119.449,265.003,0.257
7170,2.701,2.199,66.482,8.84,0.108,0.118,2.506,67.092,116.3,266.175,0.251
7170.5,4.04,2.741,57.137,8.783,0.099,0.099,2.514,66.011,112.181,264.204,0.235
7171,5.496,2.876,50.507,8.851,0.09,0.095,2.524,65.037,110.434,263.52,0.235
7171.5,5.248,2.789,51.296,8.716,0.08,0.084,2.528,63.436,108.954,263.217,0.244
